source_path,source_url,title,post_type,wp_slug,content_length
/plants-in-stock-from-s-to-z/print.html,https://www.timtec.net/plants-in-stock-from-s-to-z/print.html,Untitled,page,plants-in-stock-from-s-to-z/print,162
/natural-products-in-publications/print.html,https://www.timtec.net/natural-products-in-publications/print.html,Untitled,page,natural-products-in-publications/print,172
/featured-natural-compounds/print.html,https://www.timtec.net/featured-natural-compounds/print.html,Untitled,page,featured-natural-compounds/print,160
/genipin/print.html,https://www.timtec.net/genipin/print.html,Untitled,page,genipin/print,122
/monastrol-mitosis-inhibitor/print.html,https://www.timtec.net/monastrol-mitosis-inhibitor/print.html,Untitled,page,monastrol-mitosis-inhibitor/print,164
/monastrol-certificate-of-analysis.html,https://www.timtec.net/monastrol-certificate-of-analysis.html,monastrol-certificate-of-analysis,page,monastrol-certificate-of-analysis,174
/monastrol-certificate-of-analysis/print.html,https://www.timtec.net/monastrol-certificate-of-analysis/print.html,Untitled,page,monastrol-certificate-of-analysis/print,174
/monastrol-msds/print.html,https://www.timtec.net/monastrol-msds/print.html,Untitled,page,monastrol-msds/print,136
/monastrol-reference/print.html,https://www.timtec.net/monastrol-reference/print.html,Untitled,page,monastrol-reference/print,146
/chemical-and-analytical-products/print.html,https://www.timtec.net/chemical-and-analytical-products/print.html,Untitled,page,chemical-and-analytical-products/print,172
/2-chloro-4-nitro-imidazole.html,https://www.timtec.net/2-chloro-4-nitro-imidazole.html,2-chloro-4-nitro-imidazole,page,2-chloro-4-nitro-imidazole,160
/compounds-for-screening/print.html,https://www.timtec.net/compounds-for-screening/print.html,Untitled,page,compounds-for-screening/print,154
/building-blocks-and-intermediates/print.html,https://www.timtec.net/building-blocks-and-intermediates/print.html,Untitled,page,building-blocks-and-intermediates/print,174
/biotinylation-reagents-a-labels/print.html,https://www.timtec.net/biotinylation-reagents-a-labels/print.html,Untitled,page,biotinylation-reagents-a-labels/print,174
/biotinylation-reagents-a-labels-full-listing/print.html,https://www.timtec.net/biotinylation-reagents-a-labels-full-listing/print.html,Untitled,page,biotinylation-reagents-a-labels-full-listing/print,200
/2-chloro-4-nitro-imidazole/print.html,https://www.timtec.net/2-chloro-4-nitro-imidazole/print.html,Untitled,page,2-chloro-4-nitro-imidazole/print,160
/bam15-st056388/print.html,https://www.timtec.net/bam15-st056388/print.html,Untitled,page,bam15-st056388/print,137
/photogem/print.html,https://www.timtec.net/photogem/print.html,Untitled,page,photogem/print,124
